day_hr,num_trades,total_usd,total_fees_usd,num_new_positions,liq_usd_added,liq_usd_net
2021-09-08 17:00:00.000 UTC,2346,1.0032218355838989e+08,307990.8303616138,7,2.8077077924343725e+06,2.7953143054613834e+06
2021-08-28 17:00:00.000 UTC,1121,2.4150040583842378e+07,57966.03659557309,13,2.967331231345189e+06,1.192802622482983e+06
2021-07-22 05:00:00.000 UTC,1680,2.8043610093638517e+07,45894.17162628109,36,4.447284469443749e+07,531302.03044478
2021-06-14 21:00:00.000 UTC,1945,3.809887684915657e+07,80368.41485522146,65,5.029808534256731e+06,809000.3110327326
2023-06-25 12:00:00.000 UTC,2181,1.7839998543423202e+07,24887.916152363334,10,16532.29107980479,-5.093548220215866e+06
2023-06-23 16:00:00.000 UTC,3429,1.0418307454466043e+08,112622.02488903001,22,2.082512518999074e+06,809999.2606253386
2023-06-06 00:00:00.000 UTC,2047,9.83004658098808e+06,19334.041575302286,13,5.801272846455938e+07,156407.4333449027
2023-05-26 08:00:00.000 UTC,3014,1.107006164367976e+07,42877.69627470394,13,1.787510467721456e+06,992204.4595117839
2023-05-05 09:00:00.000 UTC,3691,2.6894437953135923e+07,74693.130463328,17,857887.0271548631,483444.8731147728
2023-04-28 12:00:00.000 UTC,1304,2.621959018964919e+07,27383.190084388603,16,576160.7493468366,45511.83544468056
2023-04-01 19:00:00.000 UTC,1653,4.146423963219397e+07,31875.687326334148,39,1.2484050462391886e+08,225853.04715532908
2023-02-25 22:00:00.000 UTC,2668,6.670117215270879e+07,65928.32447634444,53,3.039103198594053e+07,-1.1028687091329314e+06
2022-12-31 01:00:00.000 UTC,1287,1.278819528042623e+07,10541.445701858922,29,8.468334252144022e+07,-1.3460678638146438e+06
2022-11-26 08:00:00.000 UTC,1328,1.4269411768595008e+07,12528.892581768476,39,1.954639448967121e+08,910530.5903220327
2022-10-25 08:00:00.000 UTC,1931,1.6194310210621653e+07,19610.891111633704,29,7.03163046550264e+07,-1.4092478159987656e+06
2022-10-17 00:00:00.000 UTC,1513,1.5654829792277342e+07,19810.17613558475,31,2.830702616457477e+06,1.0253170569347236e+06
2022-10-08 10:00:00.000 UTC,1554,5.419565293536948e+06,11428.670185072548,22,4.4339846919204295e+07,-46952.651489234326
2022-09-29 02:00:00.000 UTC,1853,2.9931020342127156e+07,39733.113032466485,37,2.813922453726126e+07,453760.6498019005
2022-08-30 07:00:00.000 UTC,2255,6.373483650738148e+07,54681.51462633517,43,3.1950547181502152e+07,-1.4536356300792135e+07
2022-06-24 17:00:00.000 UTC,1450,4.537759859894039e+07,57484.46029591689,26,1.1486727422196409e+06,-5.70531249569591e+06
2022-05-30 02:00:00.000 UTC,1897,1.0042199499419296e+08,107345.41805358979,27,1.7645310659418502e+08,694284.5833762209
2022-04-01 20:00:00.000 UTC,1345,4.048761673699464e+07,72621.84259353671,6,617260.4590411138,-567313.5281546334
2022-03-22 07:00:00.000 UTC,1444,3.429090184808114e+07,45735.926842131266,23,7.672448965442689e+06,6.589936173917274e+06
2022-03-14 05:00:00.000 UTC,1476,3.421154794474816e+07,33945.412789823014,19,5.755420406063128e+07,42080.978236891824
2022-02-05 13:00:00.000 UTC,1237,5.8108022026164025e+07,60632.17030363557,16,5.007973970838975e+07,-711225.0848093199
2022-01-16 13:00:00.000 UTC,1662,1.1213275380945943e+08,177682.83337216644,20,2.708046183190472e+06,497264.9990906184
2022-01-14 11:00:00.000 UTC,1474,7.501274155575971e+07,134028.61957597628,5,337998.8693755704,-157034.5011419423
2021-12-03 21:00:00.000 UTC,2390,1.4528044070944718e+08,228470.9732380642,16,7.71543330721098e+06,3.522538065035819e+06
2021-11-07 01:00:00.000 UTC,2014,5.7694474511641696e+07,125923.72312496381,18,3.3709189816958024e+06,-1.66876051943931e+07
2021-09-13 17:00:00.000 UTC,1405,2.4370534685789857e+07,50844.277467116226,10,184313.51047781104,-233511.95494717313
2021-08-25 08:00:00.000 UTC,2359,1.0392178734169841e+08,190347.99943998174,14,2.7178976482682385e+07,52449.61443144821
2021-08-24 12:00:00.000 UTC,1671,3.4653572229476824e+07,65489.02553755465,15,2.549874847185507e+07,1.2906497963218845e+06
